# Wes Sander, MoltFire
pglib_opf_case793_goc: AC-OPF objective 260196.881565 $/h (verified feasible at 1e-06 pu)

gen  bus  Pg[MW]  Qg[MVAr]
  0    6     0.0000     0.0000
  1   23   460.4631   103.2789
  2   25     0.0000     0.0000
  3   25     0.0000     0.0000
  4   31    34.6849    64.0585
  5   33     0.0000     0.0000
  6   35     0.0000     0.0000
  7   35     0.0000     0.0000
  8   35     0.0000     0.0000
  9   43   192.0537     0.7726
 10   45     0.0000     0.0000
 11   46    11.5159   160.0001
 12   47    33.9769    -3.9022
 13   52    27.6699    19.6351
 14   55    34.6739    -3.0516
 15   59     3.8329     5.4048
 16   65    20.9060     0.9146
 17   65     0.0000     0.0000
 18   71    39.2927    -3.4242
 19   80     0.0000     0.0000
 20   80     0.0000     0.0000
 21   86    65.4163     3.3133
 22   87     0.0000     0.0000
 23   90    59.5991   -10.2738
 24   93     2.9649  -122.7470
 25   98     0.0000     0.0000
 26   99     0.0000     0.0000
 27  100     0.0000     0.0000
 28  100     0.0000     0.0000
 29  105     4.9999    43.9201
 30  116     0.0000     0.0000
 31  117     0.0000     0.0000
 32  121     0.0000     0.0000
 33  131     0.0000     0.0000
 34  131     0.0000     0.0000
 35  131     0.0000     0.0000
 36  131     0.0000     0.0000
 37  133     0.0000     0.0000
 38  134     4.9999    16.6671
 39  151     0.0000     0.0000
 40  151    58.3329    43.9201
 41  151     4.9999    43.9201
 42  152    78.9999    54.8971
 43  152     0.0000     0.0000
 44  156     0.0000     0.0000
 45  159   137.2305    25.9631
 46  179     9.9999    43.9201
 47  190    27.0149   160.0001
 48  221     0.0000     0.0000
 49  221     0.0000     0.0000
 50  221     0.0000     0.0000
 51  222   486.8421   149.3209
 52  222     0.0000     0.0000
 53  223  1016.7654    82.8671
 54  223  1148.4531    82.8671
 55  223  1148.4531    82.8671
 56  224     0.0000     0.0000
 57  224   239.9999   155.5501
 58  224   295.9144   155.5501
 59  233    43.0999    33.5477
 60  236     0.0000     0.0000
 61  236   526.3161    73.3614
 62  246   460.5261   160.1251
 63  250     0.0000     0.0000
 64  256     1.9999    92.9641
 65  267   271.8948   -38.5151
 66  268   422.3161   123.1387
 67  272    78.3951    73.1694
 68  275     1.4609   155.9826
 69  281     1.7819     5.6633
 70  293     0.0000     0.0000
 71  296     0.0000     0.0000
 72  298    23.0532     4.1948
 73  303     4.9999    -8.0382
 74  304     0.0000     0.0000
 75  305     0.0000     0.0000
 76  307     6.6439    49.5281
 77  309     0.0000     0.0000
 78  326     0.0000     0.0000
 79  335     0.0000     0.0000
 80  337     1.9069     1.5221
 81  342     0.0000     0.0000
 82  345    10.5508     2.7346
 83  350    34.1419    12.1629
 84  352     0.0000     0.0000
 85  353    25.5419   160.0001
 86  357     0.0000     0.0000
 87  361   526.4301    14.4032
 88  364     0.0000     0.0000
 89  370     0.0000     0.0000
 90  370     0.0000     0.0000
 91  370     0.0000     0.0000
 92  371     0.0000     0.0000
 93  373    25.9999    20.1301
 94  374     0.0000     0.0000
 95  375     0.0000     0.0000
 96  376     0.0000     0.0000
 97  376     0.0000     0.0000
 98  380     0.0000     0.0000
 99  384     0.0000     0.0000
100  385     1.9999     0.8710
101  390     0.0000     0.0000
102  391   311.5791  -108.3361
103  395     0.0000     0.0000
104  401     0.0000     0.0000
105  402     0.0000     0.0000
106  408     0.0000     0.0000
107  414     0.0000     0.0000
108  416     1.9999   -14.8062
109  422     3.7799   160.0001
110  428     1.9999  -101.0161
111  428     0.0000     0.0000
112  428     0.0000     0.0000
113  436    11.9149   -74.0654
114  437    22.3899   137.2705
115  442     0.0000     0.0000
116  443     0.0000     0.0000
117  444     0.0000     0.0000
118  449    44.3399    -2.3568
119  469    38.2721   -74.2742
120  470     0.0000     0.0000
121  470     0.0000     0.0000
122  471     0.0000     0.0000
123  471     0.0000     0.0000
124  471     0.0000     0.0000
125  474    10.1299    73.6834
126  480    55.0046    13.4742
127  481    53.3001     5.2787
128  482    24.5609     5.6440
129  483   306.3311    75.2512
130  487    34.4259    29.2955
131  490    83.5651    22.4962
132  494    83.5991    63.2618
133  499    18.3029    17.0265
134  525     0.0000     0.0000
135  549    58.5761    -0.7736
136  559     0.0000     0.0000
137  564     0.0000     0.0000
138  565     0.0000     0.0000
139  566     0.0000     0.0000
140  567     0.0000     0.0000
141  568     0.0000     0.0000
142  569    23.7599    47.6921
143  570     0.0000     0.0000
144  571    41.3569    43.2861
145  572     0.0000     0.0000
146  573     0.0000     0.0000
147  576     0.0000     0.0000
148  578   134.9999    75.0301
149  579     0.0000     0.0000
150  579     0.0000     0.0000
151  579   526.3161   183.0001
152  580     0.0000     0.0000
153  581     0.0000     0.0000
154  581     0.0000     0.0000
155  587   963.1051   160.0001
156  591     0.0000     0.0000
157  596    89.9999    71.0566
158  599     0.0000     0.0000
159  602     0.0000     0.0000
160  611     0.0000     0.0000
161  619     0.0000     0.0000
162  620     1.9999   -11.3367
163  623     0.0000     0.0000
164  625     1.9999   -18.3001
165  630     1.9999   101.3821
166  633    10.9509    68.3320
167  634    15.4429   160.0001
168  639     0.0000     0.0000
169  640     0.0000     0.0000
170  645    98.4829    92.8551
171  645     0.0000     0.0000
172  645    98.4829    92.8551
173  646     1.9999    65.5141
174  648   125.7640    -1.0161
175  649     0.0000     0.0000
176  650     0.0000     0.0000
177  652     1.9999   -40.9335
178  652   526.3161   -75.8027
179  659     1.9999     6.5881
180  660     0.0000     0.0000
181  667     1.9999     5.1025
182  667     1.9999     8.5901
183  674     1.9999   100.2841
184  675     1.9999    -5.4901
185  679     0.0000     0.0000
186  684   310.5261   107.9701
187  684     0.0000     0.0000
188  688     1.9999    48.4410
189  690     1.9999    17.5018
190  690   267.1739    30.0718
191  693   526.3161   -50.9225
192  696     0.0000     0.0000
193  697     0.0000     0.0000
194  698     0.0000     0.0000
195  702     0.0000     0.0000
196  703     0.0000     0.0000
197  706     0.0000     0.0000
198  719     0.0000     0.0000
199  719     0.0000     0.0000
200  738     6.2819   160.0001
201  740     1.0409    94.5868
202  743     0.0000     0.0000
203  747     3.6329   160.0001
204  748     0.0000     0.0000
205  749     0.0000     0.0000
206  753     0.0000     0.0000
207  754     0.0000     0.0000
208  757     0.0000     0.0000
209  770    99.1399    73.0001
210  770     0.0000     0.0000
211  789    49.1921   118.8072
212  791   458.2832    30.2685
213  794     0.0000     0.0000

bus  Vm[pu]  Va[deg]
   1  0.99409  -11.2854
   2  1.01125  -17.1619
   3  1.01282  -13.1109
   4  0.99837   -7.2904
   5  1.01073  -17.8187
   6  1.01726  -15.7258
   7  1.01384  -12.7291
   8  1.01194  -17.1550
   9  1.00308  -12.4575
  10  1.00993  -17.7543
  11  1.01444  -18.0686
  12  1.00563  -10.5087
  13  1.00146  -14.1713
  15  1.02159  -13.1950
  16  0.99394   -8.9284
  17  0.99321   -9.1840
  18  1.01327  -10.3699
  19  1.01360  -10.2821
  20  0.99839   -7.3726
  21  0.99943  -20.8830
  22  1.00219  -10.2387
  23  0.98963    0.0875
  24  1.01808  -14.0007
  25  1.01726  -15.7258
  27  1.00965  -17.7375
  28  1.02792  -16.6699
  30  1.01606  -13.6797
  31  1.01311  -10.3688
  32  1.01073  -17.4044
  33  1.01101  -10.7554
  34  0.99025   -7.0059
  35  1.01361  -10.2822
  36  1.01101  -10.7554
  37  1.02738  -16.1202
  38  1.01134  -10.4284
  39  0.99658   -9.4694
  40  0.99650   -8.5370
  41  1.03386  -16.1789
  43  1.00480   -5.2192
  44  0.98910   -0.9177
  45  1.01101  -10.7554
  46  1.06000  -14.5718
  47  0.99773   -8.0780
  49  0.99025   -7.0059
  50  1.01198  -17.1784
  51  1.01722  -14.0490
  52  1.03342  -16.2125
  53  1.01600  -18.0065
  54  1.00589  -18.3935
  55  1.02804  -15.7258
  56  1.00693  -10.3879
  57  0.98633  -21.9350
  58  1.02500  -17.1020
  59  0.98942    0.0564
  60  1.00392  -12.3703
  61  1.00957  -17.7601
  62  1.01710  -17.9079
  63  1.05985  -14.4268
  64  0.98853    0.0531
  65  0.99566   -8.7251
  66  1.01327  -10.3699
  67  0.99486   -6.9142
  68  1.00771  -19.5058
  69  1.01368  -10.2672
  70  0.98326   -8.7904
  71  1.00397   -7.2756
  72  1.00969  -17.6705
  73  1.01676  -12.7738
  74  1.01210  -17.1331
  75  0.99910   -7.4607
  76  1.01832  -17.7885
  77  1.01602  -16.6642
  78  1.01538  -13.7547
  79  1.02708  -16.1907
  80  0.99377   -8.9351
  81  1.00185  -14.1265
  82  1.01596  -18.0104
  83  1.00943  -19.3071
  84  1.00713  -19.5654
  85  0.98627  -21.9428
  86  1.01625   -9.1830
  87  1.03323  -16.2134
  88  0.99738   -7.2450
  89  1.00217  -10.7277
  90  1.06000  -14.3447
  91  1.01005  -19.2067
  92  1.01509  -18.0199
  93  0.99302   -9.0926
  94  1.01892  -13.9513
  95  0.98004  -26.2543
  96  0.98001  -26.2596
  97  0.98576  -26.3686
  98  0.98589  -26.3743
  99  0.98359  -25.7457
 100  0.98372  -25.7723
 101  1.00419  -27.6891
 102  1.00710  -27.4788
 103  1.02713  -26.0162
 104  0.98845   13.2709
 105  0.98877   13.0215
 106  0.97361  -12.1328
 107  0.97371  -12.1341
 108  1.00487   18.2308
 109  1.02037  -26.4276
 110  0.97326  -12.1028
 111  0.97331  -12.1045
 112  0.97896  -15.7252
 113  0.97896  -15.7252
 114  0.97910  -15.7142
 115  1.02847  -26.4891
 116  1.03239  -26.4739
 117  1.03297  -26.4791
 118  1.02377  -26.2158
 119  1.02394  -26.2045
 120  1.02228  -26.4939
 121  1.02168  -26.3472
 122  1.02171  -26.3443
 123  1.02171  -26.3444
 124  1.02168  -26.3472
 125  1.02043  -26.4223
 126  1.02848  -26.4892
 127  0.96838  -11.1893
 128  0.96795  -11.1414
 129  0.96357   -2.8704
 130  0.96377   -2.8671
 131  0.97876  -15.7448
 132  1.03221  -26.4865
 133  1.02705  -25.6101
 134  0.97212  -28.3206
 135  1.01995  -26.4589
 136  1.02164  -26.3506
 137  0.98589   -0.7812
 138  0.96410    3.6481
 139  0.96410    3.6482
 140  0.97277  -12.0518
 141  0.97487  -11.6288
 142  1.03608  -26.5950
 143  1.03623  -26.5914
 144  1.02043  -26.4223
 145  1.04920  -27.0389
 146  0.97136  -12.8337
 147  0.97134  -12.8523
 148  1.05361  -26.2537
 149  1.05412  -26.2304
 150  1.02838  -26.4942
 151  0.95430   -3.8569
 152  1.02701  -26.0144
 153  1.03353  -26.5647
 154  1.03364  -26.5649
 155  0.97528  -12.1367
 156  0.97545  -12.1110
 157  0.97758  -12.8954
 158  0.97772  -12.8869
 159  0.98542  -10.3252
 160  0.98538  -10.3558
 161  1.02232  -26.3095
 162  1.02224  -26.3166
 163  0.97832  -11.2466
 164  0.97832  -11.2544
 165  0.97517  -12.1436
 166  0.97537  -12.1166
 167  1.03047  -26.2750
 168  1.03060  -26.2879
 169  0.99884   16.8074
 170  0.99896   16.8167
 171  0.97859  -11.1855
 172  0.97859  -11.1998
 173  0.97071   -2.1717
 174  0.97166   -2.1025
 175  1.04060  -26.4065
 176  1.04106  -26.3969
 177  1.02650  -26.4937
 178  1.02650  -26.4936
 179  0.97141    6.3815
 180  0.97095    6.6321
 181  0.96015   -9.1028
 182  0.96053   -9.1546
 183  0.95538   -6.4870
 184  1.03011  -26.3574
 185  1.03038  -26.3662
 186  1.03040  -26.3430
 187  1.03074  -26.3496
 188  0.95452   -5.0248
 189  0.95423   -4.9685
 190  0.98761  -14.9643
 191  1.02162  -26.4426
 192  1.02167  -26.4395
 193  1.02011  -26.4471
 194  1.02457  -25.9087
 195  1.02475  -25.8946
 196  0.98761  -14.9644
 197  1.02171  -26.3444
 198  1.02356  -26.5019
 199  1.02357  -26.5016
 200  0.97464  -12.1518
 201  0.97476  -12.1494
 202  0.97406  -12.1427
 203  0.97396  -12.1414
 204  0.97478  -12.0610
 205  0.97464  -12.0465
 206  0.97475  -12.1231
